('Action', (3.158532929451071, 1175))
('Adventure', (3.168709062525581, 707))
('Animation', (3.175885456020015, 223))
('Comedy', (3.1370494677399536, 2113))
('Crime', (3.1625839378882317, 907))
('Documentary', (3.0742356093239853, 503))
('Drama', (3.1391216242914504, 3724))
('Family', (3.1569054919202837, 386))
('Fantasy', (3.1429135219007027, 463))
('Foreign', (3.113985834407914, 271))
('History', (3.118791045849541, 306))
('Horror', (3.1340202623924758, 723))
('Music', (3.189047782134767, 248))
('Mystery', (3.148769392655548, 475))
('Romance', (3.1562777018393633, 1206))
('Science Fiction', (3.157163683913988, 593))
('TV Movie', (3.148118069220997, 87))
('Thriller', (3.1482817481660903, 1427))
('War', (3.1146633826061416, 231))
('Western', (3.2140607181871017, 185))
